"BehaviorSpace results (NetLogo 6.2.0)"
"COVID SIMULS VIC JAN Vaccination Model.nlogo"
"arrayTest"
"02/12/2021 15:58:11:686 +1100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-30","30","-40","40"
"[run number]","param_vac_uptake","RestrictedMovement","Outside","Proportion_Time_Avoid","Isolation_Transmission","initial_cases","cruise","BaseStage","RAND_SEED","Isolate","total_population","GoldStandard","Judgeday2_d","Triggerday","LowerStudentAge","UpperStudentAge","lockdown_off","Visit_Frequency","threetofour","JudgeDay4","Gather_Location_Count","Proportion_People_Avoid","Complacency_Bound","tracking","param_vac2_morb_eff","stimulus","OS_Import_Switch","ResidualCautionPTA","InitialScale","Complacency","Case_Reporting_Delay","track_R","threetotwo","phwarnings","eWAppUptake","Mean_Individual_Income","param_policy","se_illnesspd","fourtothree","Mask_Efficacy_Mult","OS_Import_Post_Proportion","Judgeday3_d","Hospital_Beds_in_Australia","secondary_cases","onetozero","Incubation_Period","Household_Attack","policytriggeron","param_vac2_tran_reduct","MaskPolicy","JudgeDay1_d","maxv","days_of_cash_reserves","outsideRisk","MaxStage","Essential_Workers","Non_Infective_Time","TimeLockDownOff","App_Uptake","twotothree","Treatment_Benefit","FearTrigger","Diffusion_Adjustment","zerotoone","param_vacEffDays","se_incubation","JudgeDay2","profile_on","Vaccine_Available","Scale_Threshold","Visit_Radius","onetotwo","Global_Transmissability","minv","Judgeday4_d","Initial","freewheel","self_capacity","Illness_period","End_Day","WFH_Capacity","Span","Asymptom_Trace_Mult","SelfGovern","Bed_Capacity","ReInfectionRate","param_vac1_tran_reduct","superspreaders","Age_Isolation","Quarantine_Spaces","Severity_of_illness","ProductionRate","SchoolReturnDate","Mask_Wearing","AssignAppEss","Population","Available_Resources","saliency_of_experience","SeedTicks","scale","ICU_Beds_in_Australia","Asymptom_Prop","IncursionRate","JudgeDay1","Media_Exposure","Scale_Factor","Asymptomatic_Trans","care_attitude","schoolsOpen","initialassociationstrength","ResidualCautionPPA","JudgeDay3","twotoone","Undetected_Proportion","link_switch","OS_Import_Proportion","ICU_Required","Ess_W_Risk_Reduction","param_transmit_scale","[step]","days","stage","infectArray_listOut","recoverArray_listOut","dieArray_listOut","age_listOut","atsi_listOut","morbid_listOut"
"6","75","0","0","0","0.3","2","false","0","265412","true","25000000","100","1","1","4","18","true","0.1428","210","2","100","0","0","true","60","false","true","81","0","false","2","true","35","0.8","0","60000","ModerateElim","4","105","1","0.68","1","65000","8","0","4.7","30","false","75","true","1","1","30","37","4","100","2","28","0","56","4","50","9","1","21","2.25","2","false","true","240","8.8","35","0.32","0","1","1","false","0.8","21.2","360","29.9","30","0.33","true","9","2","90","0.1","0","0","16","5","3","50","true","2500","0","1","15","true","7400","0.33","0","2","50","4","0.58","0.5","true","0","81","2","1","28","false","0","0.1","50","1.25","13","13","2","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]","[25 35 45 25 35 45 25 35 45 25 35 45 25 35 45 75 85 95 55 65 25 35 45 55 65 25 35 45 55 65 25 35 45 5 15]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0]"
"5","75","0","0","0","0.3","2","false","0","265412","true","25000000","100","1","1","4","18","true","0.1428","210","2","100","0","0","true","60","false","true","81","0","false","2","true","35","0.8","0","60000","TightSupress","4","105","1","0.68","1","65000","8","0","4.7","30","false","75","true","1","1","30","37","4","100","2","28","0","56","4","50","9","1","21","2.25","2","false","true","240","8.8","35","0.32","0","1","1","false","0.8","21.2","360","29.9","30","0.33","true","9","2","90","0.1","0","0","16","5","3","50","true","2500","0","1","15","true","7400","0.33","0","2","50","4","0.58","0.5","true","0","81","2","1","28","false","0","0.1","50","1.25","23","23","0","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 4 0 0 1 3 2]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]","[25 35 45 25 35 45 25 35 45 25 35 45 25 35 45 75 85 95 55 65 25 35 45 55 65 25 35 45 55 65 25 35 45 5 15]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0]"
"4","75","0","0","0","0.3","2","false","0","56411","true","25000000","100","1","1","4","18","true","0.1428","210","2","100","0","0","true","60","false","true","81","0","false","2","true","35","0.8","0","60000","ModerateElim","4","105","1","0.68","1","65000","8","0","4.7","30","false","75","true","1","1","30","37","4","100","2","28","0","56","4","50","9","1","21","2.25","2","false","true","240","8.8","35","0.32","0","1","1","false","0.8","21.2","360","29.9","30","0.33","true","9","2","90","0.1","0","0","16","5","3","50","true","2500","0","1","15","true","7400","0.33","0","2","50","4","0.58","0.5","true","0","81","2","1","28","false","0","0.1","50","1.25","13","13","2","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]","[25 35 45 25 35 45 25 35 45 25 35 45 25 35 45 75 85 95 55 65 25 35 45 55 65 25 35 45 55 65 25 35 45 5 15]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0]"
"1","75","0","0","0","0.3","2","false","0","922705","true","25000000","100","1","1","4","18","true","0.1428","210","2","100","0","0","true","60","false","true","81","0","false","2","true","35","0.8","0","60000","TightSupress","4","105","1","0.68","1","65000","8","0","4.7","30","false","75","true","1","1","30","37","4","100","2","28","0","56","4","50","9","1","21","2.25","2","false","true","240","8.8","35","0.32","0","1","1","false","0.8","21.2","360","29.9","30","0.33","true","9","2","90","0.1","0","0","16","5","3","50","true","2500","0","1","15","true","7400","0.33","0","2","50","4","0.58","0.5","true","0","81","2","1","28","false","0","0.1","50","1.25","20","20","0","[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0 1 4]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]","[25 35 45 25 35 45 25 35 45 25 35 45 25 35 45 75 85 95 55 65 25 35 45 55 65 25 35 45 55 65 25 35 45 5 15]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0]"
"2","75","0","0","0","0.3","2","false","0","922705","true","25000000","100","1","1","4","18","true","0.1428","210","2","100","0","0","true","60","false","true","81","0","false","2","true","35","0.8","0","60000","ModerateElim","4","105","1","0.68","1","65000","8","0","4.7","30","false","75","true","1","1","30","37","4","100","2","28","0","56","4","50","9","1","21","2.25","2","false","true","240","8.8","35","0.32","0","1","1","false","0.8","21.2","360","29.9","30","0.33","true","9","2","90","0.1","0","0","16","5","3","50","true","2500","0","1","15","true","7400","0.33","0","2","50","4","0.58","0.5","true","0","81","2","1","28","false","0","0.1","50","1.25","12","12","2","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]","[25 35 45 25 35 45 25 35 45 25 35 45 25 35 45 75 85 95 55 65 25 35 45 55 65 25 35 45 55 65 25 35 45 5 15]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0]"
"8","75","0","0","0","0.3","2","false","0","568941","true","25000000","100","1","1","4","18","true","0.1428","210","2","100","0","0","true","60","false","true","81","0","false","2","true","35","0.8","0","60000","ModerateElim","4","105","1","0.68","1","65000","8","0","4.7","30","false","75","true","1","1","30","37","4","100","2","28","0","56","4","50","9","1","21","2.25","2","false","true","240","8.8","35","0.32","0","1","1","false","0.8","21.2","360","29.9","30","0.33","true","9","2","90","0.1","0","0","16","5","3","50","true","2500","0","1","15","true","7400","0.33","0","2","50","4","0.58","0.5","true","0","81","2","1","28","false","0","0.1","50","1.25","15","15","2","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]","[25 35 45 25 35 45 25 35 45 25 35 45 25 35 45 75 85 95 55 65 25 35 45 55 65 25 35 45 55 65 25 35 45 5 15]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0]"
"7","75","0","0","0","0.3","2","false","0","568941","true","25000000","100","1","1","4","18","true","0.1428","210","2","100","0","0","true","60","false","true","81","0","false","2","true","35","0.8","0","60000","TightSupress","4","105","1","0.68","1","65000","8","0","4.7","30","false","75","true","1","1","30","37","4","100","2","28","0","56","4","50","9","1","21","2.25","2","false","true","240","8.8","35","0.32","0","1","1","false","0.8","21.2","360","29.9","30","0.33","true","9","2","90","0.1","0","0","16","5","3","50","true","2500","0","1","15","true","7400","0.33","0","2","50","4","0.58","0.5","true","0","81","2","1","28","false","0","0.1","50","1.25","22","22","0","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 3 1 0 0 4 5]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 2 1 0 0 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]","[25 35 45 25 35 45 25 35 45 25 35 45 25 35 45 75 85 95 55 65 25 35 45 55 65 25 35 45 55 65 25 35 45 5 15]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0]"
"3","75","0","0","0","0.3","2","false","0","56411","true","25000000","100","1","1","4","18","true","0.1428","210","2","100","0","0","true","60","false","true","81","0","false","2","true","35","0.8","0","60000","TightSupress","4","105","1","0.68","1","65000","8","0","4.7","30","false","75","true","1","1","30","37","4","100","2","28","0","56","4","50","9","1","21","2.25","2","false","true","240","8.8","35","0.32","0","1","1","false","0.8","21.2","360","29.9","30","0.33","true","9","2","90","0.1","0","0","16","5","3","50","true","2500","0","1","15","true","7400","0.33","0","2","50","4","0.58","0.5","true","0","81","2","1","28","false","0","0.1","50","1.25","21","21","0","[0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 2 0 0 0 0 0 0 0 1 1 0 0 0 1 4 1 1 0 11 2]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]","[25 35 45 25 35 45 25 35 45 25 35 45 25 35 45 75 85 95 55 65 25 35 45 55 65 25 35 45 55 65 25 35 45 5 15]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0]"
"6","75","0","0","0","0.3","2","false","0","265412","true","25000000","100","1","1","4","18","true","0.1428","210","2","100","0","0","true","60","false","true","81","0","false","2","true","35","0.8","0","60000","ModerateElim","4","105","1","0.68","1","65000","8","0","4.7","30","false","75","true","1","1","30","37","4","100","2","28","0","56","4","50","9","1","21","2.25","2","false","true","240","8.8","35","0.32","0","1","1","false","0.8","21.2","360","29.9","30","0.33","true","9","2","90","0.1","0","0","16","5","3","50","true","2500","0","1","15","true","7400","0.33","0","2","50","4","0.58","0.5","true","0","81","2","1","28","false","0","0.1","50","1.25","14","14","2","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]","[25 35 45 25 35 45 25 35 45 25 35 45 25 35 45 75 85 95 55 65 25 35 45 55 65 25 35 45 55 65 25 35 45 5 15]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0]"
"5","75","0","0","0","0.3","2","false","0","265412","true","25000000","100","1","1","4","18","true","0.1428","210","2","100","0","0","true","60","false","true","81","0","false","2","true","35","0.8","0","60000","TightSupress","4","105","1","0.68","1","65000","8","0","4.7","30","false","75","true","1","1","30","37","4","100","2","28","0","56","4","50","9","1","21","2.25","2","false","true","240","8.8","35","0.32","0","1","1","false","0.8","21.2","360","29.9","30","0.33","true","9","2","90","0.1","0","0","16","5","3","50","true","2500","0","1","15","true","7400","0.33","0","2","50","4","0.58","0.5","true","0","81","2","1","28","false","0","0.1","50","1.25","24","24","0","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 5 0 1 1 3 1]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]","[25 35 45 25 35 45 25 35 45 25 35 45 25 35 45 75 85 95 55 65 25 35 45 55 65 25 35 45 55 65 25 35 45 5 15]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0]"
"4","75","0","0","0","0.3","2","false","0","56411","true","25000000","100","1","1","4","18","true","0.1428","210","2","100","0","0","true","60","false","true","81","0","false","2","true","35","0.8","0","60000","ModerateElim","4","105","1","0.68","1","65000","8","0","4.7","30","false","75","true","1","1","30","37","4","100","2","28","0","56","4","50","9","1","21","2.25","2","false","true","240","8.8","35","0.32","0","1","1","false","0.8","21.2","360","29.9","30","0.33","true","9","2","90","0.1","0","0","16","5","3","50","true","2500","0","1","15","true","7400","0.33","0","2","50","4","0.58","0.5","true","0","81","2","1","28","false","0","0.1","50","1.25","14","14","2","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]","[25 35 45 25 35 45 25 35 45 25 35 45 25 35 45 75 85 95 55 65 25 35 45 55 65 25 35 45 55 65 25 35 45 5 15]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0]"
"1","75","0","0","0","0.3","2","false","0","922705","true","25000000","100","1","1","4","18","true","0.1428","210","2","100","0","0","true","60","false","true","81","0","false","2","true","35","0.8","0","60000","TightSupress","4","105","1","0.68","1","65000","8","0","4.7","30","false","75","true","1","1","30","37","4","100","2","28","0","56","4","50","9","1","21","2.25","2","false","true","240","8.8","35","0.32","0","1","1","false","0.8","21.2","360","29.9","30","0.33","true","9","2","90","0.1","0","0","16","5","3","50","true","2500","0","1","15","true","7400","0.33","0","2","50","4","0.58","0.5","true","0","81","2","1","28","false","0","0.1","50","1.25","21","21","0","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 1 0 0 0 0 2 1 0 0 0 0 0 2 2 0 1 0 7 2]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]","[25 35 45 25 35 45 25 35 45 25 35 45 25 35 45 75 85 95 55 65 25 35 45 55 65 25 35 45 55 65 25 35 45 5 15]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0]"
"2","75","0","0","0","0.3","2","false","0","922705","true","25000000","100","1","1","4","18","true","0.1428","210","2","100","0","0","true","60","false","true","81","0","false","2","true","35","0.8","0","60000","ModerateElim","4","105","1","0.68","1","65000","8","0","4.7","30","false","75","true","1","1","30","37","4","100","2","28","0","56","4","50","9","1","21","2.25","2","false","true","240","8.8","35","0.32","0","1","1","false","0.8","21.2","360","29.9","30","0.33","true","9","2","90","0.1","0","0","16","5","3","50","true","2500","0","1","15","true","7400","0.33","0","2","50","4","0.58","0.5","true","0","81","2","1","28","false","0","0.1","50","1.25","13","13","2","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]","[25 35 45 25 35 45 25 35 45 25 35 45 25 35 45 75 85 95 55 65 25 35 45 55 65 25 35 45 55 65 25 35 45 5 15]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0]"
"8","75","0","0","0","0.3","2","false","0","568941","true","25000000","100","1","1","4","18","true","0.1428","210","2","100","0","0","true","60","false","true","81","0","false","2","true","35","0.8","0","60000","ModerateElim","4","105","1","0.68","1","65000","8","0","4.7","30","false","75","true","1","1","30","37","4","100","2","28","0","56","4","50","9","1","21","2.25","2","false","true","240","8.8","35","0.32","0","1","1","false","0.8","21.2","360","29.9","30","0.33","true","9","2","90","0.1","0","0","16","5","3","50","true","2500","0","1","15","true","7400","0.33","0","2","50","4","0.58","0.5","true","0","81","2","1","28","false","0","0.1","50","1.25","16","16","2","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]","[25 35 45 25 35 45 25 35 45 25 35 45 25 35 45 75 85 95 55 65 25 35 45 55 65 25 35 45 55 65 25 35 45 5 15]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0]"
"5","75","0","0","0","0.3","2","false","0","265412","true","25000000","100","1","1","4","18","true","0.1428","210","2","100","0","0","true","60","false","true","81","0","false","2","true","35","0.8","0","60000","TightSupress","4","105","1","0.68","1","65000","8","0","4.7","30","false","75","true","1","1","30","37","4","100","2","28","0","56","4","50","9","1","21","2.25","2","false","true","240","8.8","35","0.32","0","1","1","false","0.8","21.2","360","29.9","30","0.33","true","9","2","90","0.1","0","0","16","5","3","50","true","2500","0","1","15","true","7400","0.33","0","2","50","4","0.58","0.5","true","0","81","2","1","28","false","0","0.1","50","1.25","25","25","0","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 2 5 0 1 0 2 4]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]","[25 35 45 25 35 45 25 35 45 25 35 45 25 35 45 75 85 95 55 65 25 35 45 55 65 25 35 45 55 65 25 35 45 5 15]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0]"
"3","75","0","0","0","0.3","2","false","0","56411","true","25000000","100","1","1","4","18","true","0.1428","210","2","100","0","0","true","60","false","true","81","0","false","2","true","35","0.8","0","60000","TightSupress","4","105","1","0.68","1","65000","8","0","4.7","30","false","75","true","1","1","30","37","4","100","2","28","0","56","4","50","9","1","21","2.25","2","false","true","240","8.8","35","0.32","0","1","1","false","0.8","21.2","360","29.9","30","0.33","true","9","2","90","0.1","0","0","16","5","3","50","true","2500","0","1","15","true","7400","0.33","0","2","50","4","0.58","0.5","true","0","81","2","1","28","false","0","0.1","50","1.25","22","22","0","[0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 1 1 0 0 0 0 0 0 0 0 0 0 1 2 0 1 0 7 6]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 1 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]","[25 35 45 25 35 45 25 35 45 25 35 45 25 35 45 75 85 95 55 65 25 35 45 55 65 25 35 45 55 65 25 35 45 5 15]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0]"
"6","75","0","0","0","0.3","2","false","0","265412","true","25000000","100","1","1","4","18","true","0.1428","210","2","100","0","0","true","60","false","true","81","0","false","2","true","35","0.8","0","60000","ModerateElim","4","105","1","0.68","1","65000","8","0","4.7","30","false","75","true","1","1","30","37","4","100","2","28","0","56","4","50","9","1","21","2.25","2","false","true","240","8.8","35","0.32","0","1","1","false","0.8","21.2","360","29.9","30","0.33","true","9","2","90","0.1","0","0","16","5","3","50","true","2500","0","1","15","true","7400","0.33","0","2","50","4","0.58","0.5","true","0","81","2","1","28","false","0","0.1","50","1.25","15","15","2","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]","[25 35 45 25 35 45 25 35 45 25 35 45 25 35 45 75 85 95 55 65 25 35 45 55 65 25 35 45 55 65 25 35 45 5 15]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0]"
